last_name, first_name,year,pitch_hand,n,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,
Brennan, Brandon,2019,R,712,6.4,87.1,2097,-1.0,-33.4,4.5,1.4,,,,,,,,
Phillips, Evan,2019,R,567,26.1,84.6,2472,7.4,-44.9,10,1.5,,,,,,,,
Garcia, Jarlin,2019,L,758,42.6,84.4,2380,-6.6,-39.1,6.9,1.4,,,,,,,,
Gearrin, Cory,2019,R,903,40.3,85.2,2826,3.6,-33.9,7,1.7,,,,,,,,
Greene, Shane,2019,R,948,21.4,80.2,2593,16.7,-41.8,17.3,1.4,,,,,,,,
Treinen, Blake,2019,R,1000,13.7,88.5,2609,3.2,-39.4,4.9,1.5,,,,,,,,
Leone, Dominic,2019,R,663,14.4,83.7,2479,5.2,-43.3,6.8,1.8,,,,,,,,
Newberry, Jake,2019,R,538,44.4,83.6,2437,5.5,-41.4,6.1,1.4,,,,,,,,
Jackson, Jay,2019,R,532,55.2,85.9,2444,4.8,-36.4,5.8,1.3,,,,,,,,
Stewart, Brock,2019,R,486,32.5,83.6,2351,5.8,-36.3,7.5,1.8,,,,,,,,
Stephenson, Robert,2019,R,1001,57.1,84.5,2799,4.4,-40.4,5.9,1.6,,,,,,,,
Green, Chad,2019,R,1318,20.7,87.6,2251,3.5,-33.5,5.3,1.2,,,,,,,,
Jimenez, Joe,2019,R,1056,25.8,86.1,2329,5.4,-32.9,7.2,1.7,,,,,,,,
Bard, Luke,2019,R,794,50.3,86.0,2891,5.4,-36.3,6.3,1.8,,,,,,,,
Littell, Zack,2019,R,549,48.6,86.5,2143,0.8,-31.4,5.8,1.9,1.0,74.1,1959,9.7,-64.0,16.7,1.4,
Zimmer, Kyle,2019,R,435,25.7,85.2,2179,3.3,-36.6,4.3,1.4,8.2,79.7,2016,5.2,-59.3,16,1.6,
DeSclafani, Anthony,2019,R,2587,24.2,89.4,2315,3.7,-27.4,8.4,1.9,15.0,83.3,2048,4.8,-45.2,7.5,2,
Peralta, Wily,2019,R,670,32.0,82.1,2203,0.8,-44.5,3.6,2.1,0.1,74.7,2095,1.9,-55.9,4.8,,
Godley, Zack,2019,R,1548,,,,,,,,42.1,81.8,2123,2.5,-49.6,7.6,1.5,
Velazquez, Hector,2019,R,980,16.8,83.0,2120,6.6,-33.2,10.1,2.4,2.5,76.9,2162,5.4,-53.6,9.1,2.3,
Skoglund, Eric,2019,L,395,,,,,,,,23.0,78.8,2202,-4.1,-47.8,7.3,3.2,
Freeland, Kyle,2019,L,1779,30.3,86.7,2235,-2.7,-30.8,6.2,1.6,6.0,81.2,2256,-2.2,-40.7,3.2,1.7,
Brooks, Aaron,2019,R,1897,22.4,85.6,2467,1.5,-36.0,3.6,1.7,3.2,78.6,2271,3.1,-50.6,6.1,1.8,
Montgomery, Mike,2019,L,1575,,,,,,,,21.2,77.7,2281,-6.7,-54.2,11,1.5,
Beede, Tyler,2019,R,2026,11.4,86.3,2199,1.4,-34.6,3.4,1.3,13.7,80.3,2292,7.7,-58.8,16.6,1.6,
Ynoa, Gabriel,2019,R,1813,27.9,84.0,2280,2.5,-38.6,3.9,1.9,2.3,79.9,2306,5.6,-47.2,6.9,1.3,
Harper, Ryne,2019,R,853,,,,,,,,60.2,74.1,2333,12.9,-59.0,15.4,3.2,
Cashner, Andrew,2019,R,2511,13.0,85.7,2255,4.1,-36.1,5.5,1.8,10.8,80.6,2349,11.3,-55.4,15.7,1.6,
Lopez, Pablo,2019,R,1795,,,,,,,,19.3,79.8,2358,10.8,-45.4,11.5,1.6,
Young, Alex,2019,L,1324,,,,,,,,20.0,81.5,2379,-2.4,-46.6,4.8,1.3,
Blach, Ty,2019,L,520,1.3,81.9,2432,-3.8,-43.2,3.9,1.4,8.6,77.1,2392,-7.3,-59.6,13.3,1.6,
Yarbrough, Ryan,2019,L,2057,,,,,,,,13.5,72.8,2405,-14.5,-50.6,15.1,2.2,
Canning, Griffin,2019,R,1552,28.8,88.9,2506,2.0,-28.6,7.5,1.3,16.0,82.0,2425,9.3,-47.9,11.2,1.4,
Thorpe, Lewis,2019,L,492,19.7,84.6,1956,-3.5,-31.1,7.5,1.7,17.4,73.6,2440,-10.0,-66.3,18.7,1.6,
Avilan, Luis,2019,L,600,,,,,,,,12.1,75.4,2450,-10.4,-57.4,12.5,2.1,
Webb, Jacob,2019,R,534,,,,,,,,33.1,81.6,2472,6.7,-47.5,9,1.1,
Wright, Mike,2019,R,577,35.5,88.7,2259,4.0,-31.0,6.4,1.6,1.2,82.9,2489,4.7,-42.3,5.8,1.4,
Gray, Jon,2019,R,2372,33.5,88.3,2220,1.6,-30.2,5.9,1.4,11.0,78.6,2518,10.1,-52.0,12.6,1.7,
Quijada, Jose,2019,L,647,,,,,,,,11.4,80.2,2531,-9.5,-43.9,9.9,1.6,
Bettis, Chad,2019,R,1030,,,,,,,,12.0,77.3,2539,12.0,-56.0,15.1,3.1,
Suarez, Andrew,2019,L,538,23.4,84.4,2379,-5.9,-43.3,7.6,2.1,5.3,76.0,2552,-10.6,-62.0,15.6,1.5,
Leake, Mike,2019,R,2966,12.5,80.3,2506,9.5,-45.7,9.9,1.8,7.9,79.3,2572,14.6,-47.4,14.9,1.9,
Davis, Wade,2019,R,839,,,,,,,,18.8,82.8,2582,6.3,-51.2,12.2,1.7,
Urquidy, Jose,2019,R,693,17.1,82.8,2581,5.8,-35.1,10.1,2.2,9.8,79.0,2592,7.4,-57.7,14.4,1.7,
Workman, Brandon,2019,R,1244,,,,,,,,47.0,80.6,2608,6.4,-58.2,17.6,1.5,
Lockett, Walker,2019,R,369,,,,,,,,24.1,80.0,2629,12.0,-50.6,13.9,1.3,
Bumgarner, Madison,2019,L,3238,,,,,,,,18.3,78.8,2645,-11.8,-49.6,12.8,1.5,
Gant, John,2019,R,1085,,,,,,,,10.4,77.1,2653,8.1,-62.9,18,1.5,
Leclerc, Jose,2019,R,1275,37.0,82.0,2713,10.9,-41.7,11.4,1.7,1.2,77.0,2667,11.2,-60.0,16,1.6,
Elias, Roenis,2019,L,803,,,,,,,,13.4,77.5,2686,-16.3,-61.3,20.6,2,
Scherzer, Max,2019,R,2769,20.6,85.6,2365,3.2,-36.1,4.4,1.3,8.6,78.5,2719,10.8,-51.3,12.5,1.6,
Smeltzer, Devin,2019,L,732,4.0,82.8,2429,-4.4,-36.6,6.8,1.6,24.4,76.8,2738,-12.4,-57.8,15.9,1.4,
Gsellman, Robert,2019,R,1072,26.5,90.5,2429,-1.3,-28.9,6.1,1.7,11.6,81.3,2748,11.6,-54.9,16.9,1.5,
Arrieta, Jake,2019,R,2192,11.9,89.7,2363,2.9,-26.0,9.6,1.4,13.3,80.6,2766,13.7,-54.7,17.5,1.5,
Fiers, Mike,2019,R,2833,17.7,85.7,2481,3.2,-28.3,10.9,2.1,17.4,74.0,2781,10.9,-70.7,21.2,1.7,
Loaisiga, Jonathan,2019,R,591,,,,,,,,30.7,84.2,2805,8.0,-45.2,10.3,1.6,
Voth, Austin,2019,R,683,11.2,86.6,2503,3.3,-29.2,9,1.4,20.2,79.5,2828,13.8,-48.9,14.6,1.4,
Morton, Charlie,2019,R,3138,,,,,,,,37.3,78.6,2886,18.6,-55.5,20.9,1.2,
Sadler, Casey,2019,R,696,,,,,,,,27.4,81.7,2911,10.8,-50.2,13.5,1.3,
Chatwood, Tyler,2019,R,1285,,,,,,,,11.3,81.4,3092,9.3,-56.6,16.8,1.8,
Plesac, Zach,2019,R,1892,18.7,84.9,2028,1.7,-35.4,4.3,1.6,10.0,79.4,1955,7.3,-55.1,12.7,1.7,
Paxton, James,2019,L,2662,,,,,,,,18.8,81.1,2013,-3.3,-48.8,8.1,1.5,
Ray, Robbie,2019,L,3058,30.7,84.2,2145,-1.9,-34.7,5.1,1.8,16.4,81.6,2045,-1.2,-46.5,5,2.4,
Anderson, Nick,2019,R,1101,,,,,,,,40.0,83.1,2094,1.3,-43.0,3.4,1.6,
Hendriks, Liam,2019,R,1317,21.5,88.5,2156,2.4,-29.9,5.7,1.4,7.8,84.4,2117,2.9,-49.0,10.8,1.5,
Wood, Alex,2019,L,586,,,,,,,,24.5,81.4,2161,-3.8,-45.1,5.2,1,
Burke, Brock,2019,L,476,0.6,84.7,2328,-1.0,-31.9,6.6,1.5,22.2,80.3,2201,-7.8,-42.2,8.3,1.9,
Weaver, Luke,2019,R,1053,,,,,,,,9.0,81.3,2216,1.3,-50.9,8.7,1.8,
Cortes Jr., Nestor,2019,L,1299,31.1,82.0,2320,-5.3,-38.2,7.2,2.8,4.2,74.8,2256,-6.5,-52.8,7.1,2.6,
Jurado, Ariel,2019,R,2043,14.9,85.3,2124,1.6,-36.4,3.2,1.7,8.9,80.3,2267,5.3,-48.3,7.8,1.4,
Taylor, Josh,2019,L,836,37.6,87.5,2348,-3.8,-31.5,6.1,1.5,1.7,80.0,2277,-6.3,-46.5,7.5,1.6,
Guerra, Javy,2019,R,1076,25.0,85.2,2101,4.3,-35.3,6.3,2,7.1,79.0,2289,5.2,-54.3,11.8,1.8,
Bieber, Shane,2019,R,3223,26.4,85.0,2370,1.4,-34.9,4.1,1,20.4,82.7,2303,4.0,-50.6,11.2,1.2,
Wieck, Brad,2019,L,632,11.0,84.1,2058,-2.8,-36.3,4.4,2,11.5,74.9,2331,-9.7,-63.6,17.4,1.3,
Melville, Tim,2019,R,563,54.7,83.1,2286,1.6,-37.3,3.5,1.9,5.8,75.4,2358,3.3,-56.4,8.2,2.4,
Dobnak, Randy,2019,R,427,,,,,,,,27.8,84.1,2392,2.6,-42.3,4.3,1.3,
Bundy, Dylan,2019,R,2778,22.7,81.1,2573,5.0,-44.6,5.9,1.3,9.9,74.8,2404,9.0,-64.5,16.6,1.5,
Weber, Ryan,2019,R,674,1.1,86.3,2246,-3.0,-33.9,5.8,1.7,29.5,77.6,2415,18.2,-56.9,20.5,1.7,
Peralta, Freddy,2019,R,1599,,,,,,,,20.5,77.2,2424,8.2,-55.6,13.3,1.6,
Blevins, Jerry,2019,L,558,,,,,,,,49.1,72.3,2439,-14.7,-60.0,16.3,1.1,
Lopez, Jorge,2019,R,2059,6.0,88.4,2199,1.4,-29.2,6.5,1.8,32.1,81.7,2450,7.1,-53.0,13.4,1.7,
Milone, Tommy,2019,L,1670,10.2,79.1,2328,-4.6,-41.9,6.3,1.4,7.8,75.3,2471,-4.4,-53.1,5.7,1.8,
Clarke, Taylor,2019,R,1511,25.4,85.3,2227,4.7,-36.6,5.6,1.5,9.6,79.3,2484,4.1,-57.1,12.7,1.7,
Trivino, Lou,2019,R,953,,,,,,,,10.4,79.8,2505,12.6,-51.9,15,1.4,
Tinoco, Jesus,2019,R,616,31.6,87.2,2362,1.6,-34.0,5,1.8,5.3,81.8,2517,7.2,-45.8,8.3,1.3,
Kluber, Corey,2019,R,611,,,,,,,,22.9,82.9,2538,18.1,-41.2,18.4,1.3,
Magill, Matt,2019,R,885,18.7,88.4,2501,4.5,-32.4,5.7,1.7,30.0,85.9,2550,3.4,-43.8,7.6,1.5,
Wick, Rowan,2019,R,587,3.7,83.5,2361,5.6,-42.7,6.6,1.6,27.7,76.9,2582,8.9,-65.1,19.6,1.5,
Biddle, Jesse,2019,L,601,20.1,87.1,2350,-3.7,-33.7,5.8,2.2,25.1,77.2,2591,-12.5,-62.7,19.7,1.3,
Lester, Jon,2019,L,3041,,,,,,,,15.3,74.5,2606,-11.5,-55.3,12.6,2,
Estrada, Marco,2019,R,333,,,,,,,,4.2,75.4,2626,7.2,-63.0,13.5,1.4,
Jackson, Luke,2019,R,1253,53.5,87.7,2576,2.2,-42.8,7.9,1.1,8.4,83.7,2645,7.7,-53.6,16.1,1.6,
Guerra, Junior,2019,R,1350,,,,,,,,18.8,82.1,2651,7.2,-49.4,11.1,1.6,
Maeda, Kenta,2019,R,2433,31.4,83.5,2514,4.6,-33.9,8.8,1.7,7.3,77.1,2685,11.2,-59.2,16.2,1.7,
Lamet, Dinelson,2019,R,1232,12.1,86.2,2653,4.7,-34.3,6.3,1.3,31.6,85.5,2710,10.1,-39.6,10.4,1.5,
Marshall, Evan,2019,R,834,,,,,,,,16.6,83.2,2734,8.6,-49.5,12.4,1.5,
Lakins, Travis,2019,R,395,,,,,,,,19.4,81.6,2747,9.8,-55.2,16,1.5,
Harris, Will,2019,R,912,,,,,,,,41.9,81.3,2775,11.7,-56.7,18.6,1,
Garcia, Yimi,2019,R,997,17.6,86.9,2663,3.8,-33.4,6,2.2,30.7,83.2,2801,10.2,-42.7,10.6,1.6,
Newcomb, Sean,2019,L,1181,8.1,81.4,2841,-13.7,-50.6,15.7,1.3,19.7,78.8,2874,-8.7,-65.2,20.2,1.5,
Peters, Dillon,2019,L,1274,3.9,82.9,2388,-2.9,-43.3,4.3,1.3,24.7,76.7,2909,-10.3,-60.2,15.9,1.4,
Valdez, Framber,2019,L,1175,,,,,,,,34.2,79.4,2960,-13.7,-59.8,20.2,1.3,
May, Dustin,2019,R,566,,,,,,,,10.6,83.0,3058,8.4,-53.9,15.9,1.4,
