last_name, first_name,year,pitch_hand,n,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,
Gallegos, Giovanny,2019,R,1134,44.1,85.3,2242,0.5,-39.5,2.9,1.2,,,,,,,,
Shafer, Justin,2019,R,732,27.0,85.6,2474,5.5,-36.9,7.8,1.6,,,,,,,,
Rodriguez, Richard,2019,R,1150,14.3,81.6,2421,5.2,-45.9,7.6,1.3,,,,,,,,
Adams, Austin,2019,R,530,63.5,89.4,2829,6.6,-34.4,7.5,1.2,,,,,,,,
Almonte, Yency,2019,R,608,39.9,85.8,2408,5.4,-37.5,6,1.8,,,,,,,,
Webb, Logan,2019,R,676,23.5,81.9,2718,10.7,-42.5,11.1,1.2,,,,,,,,
Herrera, Kelvin,2019,R,907,12.6,81.7,2676,13.6,-45.7,14.2,2.1,,,,,,,,
Agrazal, Dario,2019,R,1148,18.9,83.0,2247,1.1,-41.0,2.4,1.5,,,,,,,,
Floro, Dylan,2019,R,729,28.5,87.9,2156,1.5,-29.6,6.5,1.6,,,,,,,,
Kinley, Tyler,2019,R,866,57.7,88.5,2539,4.0,-35.9,4.9,1.7,,,,,,,,
Luciano, Elvis,2019,R,635,25.5,84.4,2188,0.9,-37.5,2.6,1.4,,,,,,,,
Yates, Kirby,2019,R,1021,0.8,85.2,2265,2.1,-35.7,6.5,1.7,,,,,,,,
Watson, Tony,2019,L,813,10.5,85.6,2367,-1.9,-33.4,5.7,1.5,,,,,,,,
Crick, Kyle,2019,R,933,37.4,81.5,3246,19.7,-41.3,20,1.3,,,,,,,,
Montas, Frankie,2019,R,1485,24.9,88.4,2509,5.0,-31.8,7.3,1.7,,,,,,,,
Markel, Parker,2019,R,460,50.8,83.1,2706,10.2,-42.9,10.9,1.6,,,,,,,,
Barnes, Jacob,2019,R,660,0.1,82.1,2165,4.1,-42.4,4.8,,,,,,,,,
Smith, Caleb,2019,L,2660,31.5,83.5,2297,-2.1,-37.5,5.2,1.9,,,,,,,,
